MMSI,shipType,shipTypeSpecific
207822620,Fishing,Fishing Vessel
207822650,Fishing,Fishing Vessel
207822670,Fishing,Trawler
207822820,Fishing,Fishing Vessel
207823230,Fishing,Fishing Vessel
207824540,Sailing Vessel,Sailing Vessel
207824760,Fishing,Fishing Vessel
207824840,Fishing,Fishing Vessel
207824860,Pleasure Craft,Pleasure Craft
207825530,Sailing Vessel,Sailing Vessel
207826760,Fishing,Fishing Vessel
207827270,Sailing Vessel,Sailing Vessel
207827320,Fishing,Fishing Vessel
207827490,Fishing,Fishing Vessel
207828530,Fishing,Fishing Vessel
207828770,Fishing,Fishing Vessel
207828790,Fishing,Fishing Vessel
207828930,Fishing,Fishing Vessel
207828940,Fishing,Fishing Vessel
207829230,Sailing Vessel,Sailing Vessel
207829280,Fishing,Fishing Vessel
207829290,Fishing,Fishing Vessel
207829370,Fishing,Fishing Vessel
207829440,Fishing,Fishing Vessel
207829660,Fishing,Fishing Vessel
207829750,Fishing,Fishing Vessel
207829760,Dredger,Dredger
207829830,Fishing,Fishing Vessel
207832280,Fishing,Fishing Vessel
207832570,Fishing,Fishing Vessel
207832770,Fishing,Fishing Vessel
207833430,High Speed Craft,High Speed Craft
207833540,Sailing Vessel,Sailing Vessel
207833870,Sailing Vessel,Sailing Vessel
207833980,Fishing,Fishing Vessel
207833990,Sailing Vessel,Sailing Vessel
207834830,Tug,Tug
207834870,Tug,Tug
207834960,Sailing Vessel,Sailing Vessel
207835220,Fishing,Fishing Vessel
207835230,Tug,Tug
207835480,Cargo,General Cargo
207835560,Sailing Vessel,Sailing Vessel
207836540,Passenger,Passenger Ship
209003000,Tanker,Oil Products Tanker
209008000,Cargo,Bulk Carrier
209015000,Cargo,Bulk Carrier
209016000,Cargo,Bulk Carrier
209026000,Cargo,Bulk Carrier
209064000,Cargo,Bulk Carrier
209074000,High Speed Craft,High Speed Craft
209092000,Cargo,Bulk Carrier
209162000,Cargo,Bulk Carrier
209215000,Tanker,Bunkering Tanker
209243000,Cargo,Bulk Carrier
209251000,Cargo,Container Ship
209317000,Cargo,Bulk Carrier
209349000,High Speed Craft,High Speed Craft
209395000,High Speed Craft,High Speed Craft
209510000,Passenger,Ro-Ro/Passenger Ship
209511000,Cargo,Vehicles Carrier
209550000,Cargo,Container Ship
209570000,Cargo - Hazard A (Major),Container Ship
209605000,Cargo,Bulk Carrier
209687000,Cargo,Bulk Carrier
209698000,Cargo,Cement Carrier
209736000,Cargo,Bulk Carrier
209753000,Cargo,Bulk Carrier
209870000,Cargo,Bulk Carrier
209927000,Cargo,Bulk Carrier
209979000,Cargo,Container Ship
210007000,Cargo,Bulk Carrier
210039000,Cargo,Bulk Carrier
210043000,Cargo,Bulk Carrier
210050000,Dredger,Hopper Dredger
210066000,Cargo,Bulk Carrier
210084000,Cargo,General Cargo
210091000,Cargo,Bulk Carrier
210115000,Cargo,Bulk Carrier
210131000,Cargo,Cement Carrier
210188000,Cargo,Bulk Carrier
210221000,Tanker,Oil Products Tanker
210227000,Sailing Vessel,Yacht
210239000,Cargo,Bulk Carrier
210312000,Cargo,Container Ship
210380000,Fishing,Fishing Vessel
210381000,Dredger,Hopper Dredger
210385000,Passenger,Ro-Ro/Passenger Ship
210464000,Cargo,Bulk Carrier
210521000,Cargo - Hazard A (Major),Container Ship
210571000,High Speed Craft,High Speed Craft
210614000,Cargo,Bulk Carrier
210764000,Cargo,Bulk Carrier
210872000,Cargo,Bulk Carrier
210895000,Cargo,Bulk Carrier
210960000,Cargo,Bulk Carrier
211064779,Cargo,"Inland, Pushtow, eigth cargo barges"
211115500,Passenger,"Inland, Passenger Ship, Ferry, Cruise ship"
211135000,Tanker,Oil Products Tanker
211158980,Passenger,"Inland, Cruise Ship"
211169690,Cargo,"Inland, Motor Freighter"
211172630,Cargo,"Inland, Pushtow, two cargo barges"
211183340,Cargo,"Inland, Motor Freighter"
211209890,Cargo,"Inland, Motor Freighter with Ships Alongside"
211215130,Cargo,Offshore Supply Ship
211216820,Passenger,"Inland, Cruise Ship"
211217360,Cargo,Container Ship
211366930,Sailing Vessel,Sailing Vessel
211367460,Cargo - Hazard A (Major),Container Ship
211387390,Cargo,Container Ship
211397660,Tanker,Oil Products Tanker
211430760,Tug,"Inland, Tug, single"
211430770,Cargo,"Inland, Motor Freighter Pushing Freighter(s)"
211430810,Cargo,"Inland, Pushtow, four cargo barges"
211431120,Cargo,"Inland, Motor Freighter"
211433000,Cargo - Hazard A (Major),Container Ship
211449050,Passenger,"Inland, Cruise Ship"
211481460,Cargo,"Inland, Pushtow, five cargo barges"
211506360,Tanker,"Inland, Motor Tanker"
211512980,Cargo,"Inland, Motor Freighter"
211513090,Cargo,"Inland, Motor Freighter"
211513680,Cargo,"Inland, Motor Freighter"
211515750,Tanker,"Inland, Motor Tanker, liquid cargo, type N"
211534170,Passenger,"Inland, Passenger Ship, Ferry, Cruise ship"
211544880,Cargo,"Inland, Motor Freighter"
211548640,Cargo,"Inland, Motor Freighter"
211555260,Passenger,"Inland, Passenger Ship, Ferry, Cruise ship"
211589480,Cargo,"Inland, Motor Freighter"
211593740,Passenger,"Inland, Cruise Ship"
211603060,Passenger,"Inland, Cruise Ship"
211644640,Cargo,"Inland, Pushtow, five cargo barges"
211652950,Cargo,"Inland, Pushtow, three cargo barges"
211701320,Sailing Vessel,Sailing Vessel
211715950,Cargo,"Inland, Pushtow, six cargo barges"
211718220,Cargo,"Inland, Pushtow, one cargo barge"
211745910,Cargo,"Inland, Motor Freighter"
211746100,Cargo,Inland Cargo
211774340,Pleasure Craft,Pleasure Craft
211818120,Pleasure Craft,Pleasure Craft
211828810,Cargo - Hazard A (Major),Container Ship
211852000,Tanker,Chemical Tanker
211930000,Military Ops,Military Ops
212026000,Cargo,Bulk Carrier
212212000,Dredger,Suction Dredger
212230000,Tug,Offshore Supply Ship
212231000,Tanker,Oil/Chemical Tanker
212250000,Cargo,Bulk Carrier
212301000,Cargo,Bulk Carrier
212438000,Cargo,Bulk Carrier
212460000,Cargo,Bulk Carrier
212467000,Cargo,Cargo
212482000,Cargo,Bulk Carrier
212613000,Cargo,Container Ship
212619000,Cargo,Bulk Carrier
212684000,Cargo,Bulk Carrier
212712000,Cargo,Bulk Carrier
212715000,Cargo,General Cargo
212717000,Tanker,Crude Oil Tanker
212719000,Cargo,Bulk Carrier
212735000,Cargo,Bulk Carrier
212853000,Cargo,General Cargo
212891000,Cargo,Bulk Carrier
212934000,Cargo,Bulk Carrier
212955000,Cargo,Bulk Carrier
213062000,Tug,Fire Fighting Vessel
213180000,Fishing,Fishing Vessel
213315000,Pleasure Craft,Pleasure Craft
213414000,Fishing,Fishing Vessel
213432000,Fishing,Fishing Vessel
213436000,Tug,Tug
213447000,Tug,Tug
213498000,Tug,Tug
213501000,Fishing,Fishing Vessel
213508000,Tug,Tug
213512000,Tug,Tug
213517000,Fishing,Fishing Vessel
213520000,SAR,SAR
213948000,Fishing,Fishing Vessel
213949000,Fishing,Trawler
213972000,Fishing,Fishing Vessel
213981000,Tug,Tug
213982000,Tug,Tug
213999000,Tug,Tug
214180302,Tanker,Tanker
214180404,Cargo,"Inland, Pushtow, five cargo barges"
214180725,Cargo,Cargo
214181107,Cargo,"Inland, Pushtow, one cargo barge"
214181113,Cargo,General Cargo
214181607,Cargo,General Cargo
214181711,Cargo,General Cargo
214182519,Cargo,"Inland, Pushtow, four cargo barges"
214182619,Cargo,"Inland, Pushtow, eigth cargo barges"
214182677,Cargo,"Inland, Pushtow, two cargo barges"
214182689,Military Ops,Military Ops
214182731,Cargo,General Cargo
214182760,Cargo,"Inland, Pushtow, two cargo barges"
214182768,Cargo,General Cargo
214182773,Tanker,Chemical Tanker
214182801,Pilot Vessel,Pilot Vessel
214182804,Cargo,General Cargo
215000330,Fishing,Fishing Vessel
215000910,Fishing,Fishing Vessel
215013000,Tanker,Oil/Chemical Tanker
215015000,Cargo,Bulk Carrier
215020000,Cargo,Container Ship
215044000,Cargo,Bulk Carrier
215046000,Cargo,Bulk Carrier
215047000,Cargo,Bulk Carrier
215054000,Tanker,Oil/Chemical Tanker
215057000,Tanker,Oil/Chemical Tanker
215060000,Cargo,Bulk Carrier
215063000,Tanker,Oil/Chemical Tanker
215065000,Tanker,Crude Oil Tanker
215066000,Cargo,Bulk Carrier
215068000,Tanker - Hazard A (Major),Crude Oil Tanker
215072000,Tanker,Oil/Chemical Tanker
215074000,Cargo,Bulk Carrier
215080000,Cargo,Bulk Carrier
215085000,Tanker,Oil/Chemical Tanker
215086000,Tanker,Oil/Chemical Tanker
215090000,Tanker,Oil/Chemical Tanker
215105000,Passenger,Passenger Ship
215135000,Tanker,Oil/Chemical Tanker
215137000,Cargo - Hazard A (Major),Container Ship
215138000,Cargo,Bulk Carrier
215139000,Cargo,Bulk Carrier
215143000,Cargo,Bulk Carrier
215145000,Passenger,Ro-Ro/Passenger Ship
215176000,Cargo,Container Ship
215177000,Cargo,Container Ship
215178000,Tanker,Oil/Chemical Tanker
215179000,Cargo,Container Ship
215184000,Tug,Tug
215194000,Tanker,Oil/Chemical Tanker
215199000,Cargo - Hazard D (Recognizable),Container Ship
215207000,Cargo,Container Ship
215208000,Cargo,Bulk Carrier
215223000,Cargo,Bulk Carrier
215226000,Cargo,Bulk Carrier
215228000,Cargo,Bulk Carrier
215231000,Cargo,General Cargo
215232000,Tug,Tug
215234000,Tanker,Oil/Chemical Tanker
215238000,Tanker - Hazard D (Recognizable),LPG Tanker
215241000,Tanker,Oil/Chemical Tanker
215242000,Tanker,Oil Products Tanker
215247000,Cargo,Bulk Carrier
215268000,Cargo,Bulk Carrier
215270000,Tanker,Oil/Chemical Tanker
215277000,Cargo,Bulk Carrier
215295000,Cargo,Bulk Carrier
215307000,Tanker,Crude Oil Tanker
215329000,Tanker - Hazard A (Major),Oil/Chemical Tanker
215330000,Tanker,Oil/Chemical Tanker
215342000,Cargo - Hazard A (Major),Container Ship
215345000,Tanker,Oil/Chemical Tanker
215352000,Cargo,Container Ship
215371000,Tanker,Oil/Chemical Tanker
215375000,Tanker,Oil/Chemical Tanker
215378000,Cargo - Hazard A (Major),Bulk Carrier
215382000,Tanker,Oil/Chemical Tanker
215390000,Cargo,Bulk Carrier
215396000,Cargo,Container Ship
215400000,Cargo,Bulk Carrier
215401000,Tanker,Crude Oil Tanker
215402000,Tanker,Oil/Chemical Tanker
215413000,Cargo - Hazard A (Major),Container Ship
215416000,Cargo - Hazard A (Major),Container Ship
215417000,Cargo,Container Ship
215419000,Cargo - Hazard B,Container Ship
215424000,Cargo - Hazard A (Major),Container Ship
215426000,Cargo - Hazard A (Major),Container Ship
215428000,Pleasure Craft,Yacht
215453000,Cargo,Bulk Carrier
215461000,Tanker,Crude Oil Tanker
215462000,Tanker - Hazard D (Recognizable),Oil/Chemical Tanker
215466000,Tanker,Crude Oil Tanker
215468000,Cargo,Bulk Carrier
215469000,Cargo,Ro-Ro Cargo
215474000,Tanker,Oil/Chemical Tanker
215480000,Cargo,Bulk Carrier
215481000,Tanker - Hazard A (Major),Oil/Chemical Tanker
215485000,Cargo,Container Ship
215486000,Tanker,Chemical Tanker
215490000,Tanker,Oil/Chemical Tanker
215496000,Tanker,Oil/Chemical Tanker
215497000,Tanker,Crude Oil Tanker
215514000,Tanker,Crude Oil Tanker
215515000,Tanker - Hazard A (Major),Crude Oil Tanker
215517000,Cargo,Bulk Carrier
215521000,Cargo,Bulk Carrier
215522000,Cargo,Bulk Carrier
215535000,Tanker,Crude Oil Tanker
215538000,Cargo,Bulk Carrier
215544000,Tanker,Crude Oil Tanker
215551000,Tanker,Oil/Chemical Tanker
215552000,Tanker - Hazard B,Oil/Chemical Tanker
215561000,Cargo - Hazard A (Major),Container Ship
215562000,Cargo,General Cargo
215564000,Cargo,Bulk Carrier
215568000,Passenger,Passenger Ship
215575000,Cargo,Bulk Carrier
215587000,Cargo,Vehicles Carrier
215588000,Cargo,Vehicles Carrier
215593000,Cargo,Bulk Carrier
215609000,Cargo,Bulk Carrier
215630000,Tanker,Oil/Chemical Tanker
215637000,Tanker,Oil/Chemical Tanker
215657000,Cargo - Hazard A (Major),Container Ship
215678000,Cargo,Bulk Carrier
215682000,Sailing Vessel,Sailing Vessel
215683000,Tanker,Oil/Chemical Tanker
215703000,Tanker - Hazard A (Major),Oil/Chemical Tanker
215705000,Tanker,Oil/Chemical Tanker
215712000,Tanker,Asphalt/Bitumen Tanker
215713000,Cargo,Bulk Carrier
215714000,Cargo,Bulk Carrier
215743000,Tanker,Crude Oil Tanker
215750000,Tanker,Oil/Chemical Tanker
215751000,Cargo,Ro-Ro/Container Carrier
215764000,Tanker,Oil/Chemical Tanker
215769000,Tanker,Oil/Chemical Tanker
215776000,Cargo,Bulk Carrier
215777000,Tanker,Crude Oil Tanker
215782000,Tanker,Crude Oil Tanker
215790000,Cargo,Bulk Carrier
215795000,Tanker,Oil/Chemical Tanker
215798000,Tanker,Crude Oil Tanker
215817000,Tanker,Oil/Chemical Tanker
215822000,Tanker,Oil/Chemical Tanker
215825000,Tanker,Oil/Chemical Tanker
215826000,Tanker,Oil/Chemical Tanker
215834000,High Speed Craft,High Speed Craft
215835000,Tanker,LPG Tanker
215839000,Cargo,Container Ship
215843000,Cargo,Bulk Carrier
215845000,Tanker,Crude Oil Tanker
215847000,Cargo,Bulk Carrier
215850000,Cargo,Bulk Carrier
215854000,Tanker,Crude Oil Tanker
215858000,Tanker,LPG Tanker
215867000,Tanker,Oil/Chemical Tanker
215868000,Cargo,Bulk Carrier
215870000,Tanker,Oil/Chemical Tanker
215871000,Tanker,Oil/Chemical Tanker
215874000,Cargo,Bulk Carrier
215881000,Cargo,Bulk Carrier
215883000,High Speed Craft,High Speed Craft
215893000,Tanker,Oil/Chemical Tanker
215894000,Tanker,Oil Products Tanker
215910000,Tanker,Oil/Chemical Tanker
215912000,Cargo,Ro-Ro Cargo
215914000,Cargo,Ro-Ro Cargo
215920000,Passenger,Passenger Ship
215921000,Tug,Tug
215924000,Tanker,Oil/Chemical Tanker
215933000,Tanker,Oil/Chemical Tanker
215934000,Passenger,Yacht
215936000,Tanker,Oil/Chemical Tanker
215937000,Tanker,Oil/Chemical Tanker
215940000,Cargo,Vehicles Carrier
215952000,Cargo,Bulk Carrier
215953000,Tanker,Bunkering Tanker
215958000,Tanker,Chemical Tanker
215966000,Cargo,Container Ship
215976000,Cargo,General Cargo
215979000,Tanker,Oil/Chemical Tanker
215991000,Cargo,General Cargo
215993000,Tanker,Oil/Chemical Tanker
218063000,Cargo - Hazard A (Major),Container Ship
218108000,Cargo,General Cargo
218361000,Cargo - Hazard A (Major),Container Ship
218562000,Cargo,Vehicles Carrier
218565000,Cargo - Hazard A (Major),Container Ship
218566000,Cargo - Hazard A (Major),Container Ship
218615000,Cargo,General Cargo
218745626,Cargo,Cargo
218844000,Cargo,Container Ship
219018897,Tanker,Chemical Tanker
219023000,Tanker,Oil/Chemical Tanker
219027995,Cargo,Ro-Ro Cargo
219028212,Cargo,General Cargo
219080000,Cargo - Hazard A (Major),Container Ship
219085000,Cargo - Hazard A (Major),Container Ship
219086000,Cargo - Hazard D (Recognizable),Container Ship
219124000,Tanker,Oil/Chemical Tanker
219156000,Tanker,Oil/Chemical Tanker
219180000,Tanker,Oil Products Tanker
219207000,Cargo,General Cargo
219209000,Cargo,General Cargo
219221000,Tanker - Hazard D (Recognizable),LPG Tanker
219223000,Cargo - Hazard A (Major),Container Ship
219225000,Cargo - Hazard A (Major),Container Ship
219278000,Tanker,Oil/Chemical Tanker
219279000,Tanker - Hazard B,Oil/Chemical Tanker
219280000,Tanker,Oil/Chemical Tanker
219310000,Tanker,Oil/Chemical Tanker
219337000,Fishing,Trawler
219339000,Tug,Tug
219359000,Cargo,Bulk Carrier
219377000,Tanker,Oil Products Tanker
219383000,Tanker,Oil/Chemical Tanker
219426000,Tanker,Chemical Tanker
219432000,Tanker,Chemical Tanker
219470000,Cargo - Hazard A (Major),Container Ship
219473000,Tanker,Chemical Tanker
219479000,Tanker,Chemical Tanker
219544000,Cargo,General Cargo
219596000,Cargo,Ro-Ro Cargo
219629000,Cargo - Hazard A (Major),Container Ship
219646000,Cargo - Hazard A (Major),Container Ship
219696000,Cargo,General Cargo
219719000,Tanker,Tanker
219836000,Cargo,Container Ship
219854000,Cargo - Hazard D (Recognizable),Container Ship
220188000,Tanker,Oil Products Tanker
220237000,Tanker,Oil Products Tanker
220245000,Cargo - Hazard A (Major),Container Ship
220258000,Tanker,Crude Oil Tanker
220291000,Cargo - Hazard A (Major),Container Ship
220478000,Cargo - Hazard A (Major),Container Ship
220480000,Tanker - Hazard B,Oil/Chemical Tanker
220497000,Cargo - Hazard A (Major),Container Ship
220498000,Tanker,Oil/Chemical Tanker
220500000,Tanker,Oil/Chemical Tanker
220501000,Cargo - Hazard A (Major),Container Ship
220502000,Tanker,Oil/Chemical Tanker
220503000,Cargo,Container Ship
220530000,Tanker,Oil/Chemical Tanker
220594000,Cargo - Hazard A (Major),Container Ship
220625000,Tanker,Oil/Chemical Tanker
220644000,Tanker,Chemical Tanker
224139770,Military Ops,Military Ops
224426770,Pleasure Craft,Pleasure Craft
224434000,Cargo,Reefer
224509000,Passenger,Ro-Ro/Passenger Ship
224537000,Cargo,Ro-Ro Cargo
226019000,Tanker,Oil/Chemical Tanker
226044000,Tanker,Oil/Chemical Tanker
226099000,Tanker,Oil/Chemical Tanker
227023430,Passenger,"Inland, Cruise Ship"
227034520,Sailing Vessel,Sailing Vessel
227194000,Passenger,Passenger Ship
227244940,Sailing Vessel,Sailing Vessel
227446460,Sailing Vessel,Sailing Vessel
227661220,Pleasure Craft,Pleasure Craft
227720520,Passenger,"Inland, Cruise Ship"
228027900,Cargo - Hazard A (Major),Ro-Ro Cargo
228038360,Cargo - Hazard A (Major),Container Ship
228079600,Tanker,Oil/Chemical Tanker
228386700,Cargo - Hazard D (Recognizable),Container Ship
228397600,Cargo - Hazard A (Major),Container Ship
228401800,Cargo - Hazard A (Major),Container Ship
229000154,Fishing,Fishing Vessel
229000495,Pleasure Craft,Pleasure Craft
229000498,Passenger,Passenger Ship
229000556,Fishing,Fishing Vessel
229000557,Fishing,Fishing Vessel
229000648,Dredger,Motor Hopper
229005000,Cargo - Hazard D (Recognizable),Container Ship
229012000,Cargo,Bulk Carrier
229017000,Pleasure Craft,Pleasure Craft
229026000,Cargo,Bulk Carrier
229027000,Cargo,Bulk Carrier
229032000,Cargo,Bulk Carrier
229038000,Tanker,Crude Oil Tanker
229051000,Passenger,Passenger Ship
229087000,Cargo,Bulk Carrier
229111000,Cargo - Hazard A (Major),Container Ship
229112000,High Speed Craft,High Speed Craft
229113000,High Speed Craft,High Speed Craft
229125000,Cargo,Bulk Carrier
229131000,Cargo,Bulk Carrier
229141000,Cargo,Bulk Carrier
229160000,Tanker,Crude Oil Tanker
229161000,Cargo,Bulk Carrier
229164000,Cargo,Bulk Carrier
229176000,Tanker,Oil/Chemical Tanker
229196000,Tanker,Tanker
229199000,Cargo,Bulk Carrier
229214000,Cargo,Bulk Carrier
229236000,Cargo,Bulk Carrier
229265000,Cargo,Bulk Carrier
229266000,Cargo,Bulk Carrier
229269000,Cargo,Bulk Carrier
229283000,Cargo,Bulk Carrier
229286000,Cargo,Bulk Carrier
229308000,Cargo,Bulk Carrier
229336000,Tanker,Crude Oil Tanker
229339000,Tanker,Oil/Chemical Tanker
229344000,Cargo,General Cargo
229347000,Cargo,Bulk Carrier
229350000,Tanker - Hazard B,Oil/Chemical Tanker
229353000,Tanker,Oil Products Tanker
229357000,Tanker,Crude Oil Tanker
229364000,Cargo,Bulk Carrier
229370000,Tanker,Oil/Chemical Tanker
229376000,Cargo,Bulk Carrier
229378000,Passenger,Passenger Ship
229381000,Cargo,Bulk Carrier
229384000,Cargo,Container Ship
229387000,Cargo,Bulk Carrier
229391000,Cargo - Hazard A (Major),Container Ship
229403000,Pleasure Craft,Yacht
229410000,Cargo,Bulk Carrier
229411000,Cargo,Bulk Carrier
229421000,Cargo,Bulk Carrier
229453000,Cargo,General Cargo
229459000,Cargo,General Cargo
229461000,Tanker,Crude Oil Tanker
229478000,Cargo,Bulk Carrier
229532000,Cargo,Bulk Carrier
229535000,Tanker - Hazard B,Oil/Chemical Tanker
229546000,Tanker,Oil/Chemical Tanker
229551000,Pleasure Craft,Yacht
229561000,Tanker - Hazard B,Oil/Chemical Tanker
229565000,Cargo,Bulk Carrier
229580000,Tanker,Oil/Chemical Tanker
229594000,Cargo,General Cargo
229599000,Tanker,Oil/Chemical Tanker
229603000,Cargo,Bulk Carrier
229609000,Cargo,Bulk Carrier
229623000,Cargo,Bulk Carrier
229626000,Cargo - Hazard A (Major),Container Ship
229631000,Tanker,Oil/Chemical Tanker
229647000,Cargo,Bulk Carrier
229673000,Tanker,LNG Tanker
229675000,Cargo,Bulk Carrier
229678000,Passenger,Passenger Ship
229692000,Tanker,Oil/Chemical Tanker
229694000,Pleasure Craft,Yacht
229697000,Cargo,Bulk Carrier
229715000,Tanker,Crude Oil Tanker
229718000,Cargo,Bulk Carrier
229725000,Cargo,Bulk Carrier
229732000,Cargo,Bulk Carrier
229760000,Cargo,Bulk Carrier
229773000,Tanker,Crude Oil Tanker
229787000,Cargo,Bulk Carrier
229789000,Cargo,Bulk Carrier
229796000,Tanker - Hazard A (Major),LNG Tanker
229812000,Pleasure Craft,Pleasure Craft
229821000,Cargo - Hazard A (Major),Container Ship
229826000,Pleasure Craft,Yacht
229859000,Cargo,Bulk Carrier
229866000,Tanker,Oil/Chemical Tanker
229879000,Tanker,Oil/Chemical Tanker
229880000,Tanker,Oil/Chemical Tanker
229881000,Tanker,Oil/Chemical Tanker
229887000,Cargo,General Cargo
229895000,Tanker,Oil/Chemical Tanker
229902000,Cargo,Bulk Carrier
229910000,Cargo,Bulk Carrier
229911000,Cargo,Bulk Carrier
229938000,Cargo,General Cargo
229939000,Cargo,General Cargo
229940000,Cargo,General Cargo
229941000,Cargo,General Cargo
229954000,Cargo,Bulk Carrier
229965000,Cargo - Hazard A (Major),Container Ship
229978000,Cargo - Hazard A (Major),Container Ship
229987000,Cargo,General Cargo
229992000,Cargo,Cargo/Containership
229998000,Tanker - Hazard B,Oil/Chemical Tanker
230052180,Pleasure Craft,Yacht
230601000,Cargo,Heavy Load Carrier
231345867,Fishing,Fishing Vessel
231815000,Cargo,General Cargo
232003353,Cargo,General Cargo
232003534,Cargo,Bulk Carrier
232003590,Military Ops,Military Ops
232005015,Tanker,Oil Products Tanker
232005330,Sailing Vessel,Sailing Vessel
232005392,Pleasure Craft,Pleasure Craft
232006324,Cargo,Bulk Carrier
232008128,Cargo,Bulk Carrier
232012087,Tanker,Crude Oil Tanker
232012585,Cargo,Bulk Carrier
232012788,Tanker,Crude Oil Tanker
