MMSI,shipType,shipTypeSpecific
212735000,Cargo,Bulk Carrier
212891000,Cargo,Bulk Carrier
212934000,Cargo,Bulk Carrier
212955000,Cargo,Bulk Carrier
215015000,Cargo,Bulk Carrier
215044000,Cargo,Bulk Carrier
215046000,Cargo,Bulk Carrier
215047000,Cargo,Bulk Carrier
215060000,Cargo,Bulk Carrier
215066000,Cargo,Bulk Carrier
215074000,Cargo,Bulk Carrier
215080000,Cargo,Bulk Carrier
215138000,Cargo,Bulk Carrier
215139000,Cargo,Bulk Carrier
215143000,Cargo,Bulk Carrier
215223000,Cargo,Bulk Carrier
215226000,Cargo,Bulk Carrier
215228000,Cargo,Bulk Carrier
215247000,Cargo,Bulk Carrier
215268000,Cargo,Bulk Carrier
215277000,Cargo,Bulk Carrier
215295000,Cargo,Bulk Carrier
215390000,Cargo,Bulk Carrier
215400000,Cargo,Bulk Carrier
215453000,Cargo,Bulk Carrier
215468000,Cargo,Bulk Carrier
215480000,Cargo,Bulk Carrier
215517000,Cargo,Bulk Carrier
215521000,Cargo,Bulk Carrier
215522000,Cargo,Bulk Carrier
215538000,Cargo,Bulk Carrier
215564000,Cargo,Bulk Carrier
215575000,Cargo,Bulk Carrier
215593000,Cargo,Bulk Carrier
215609000,Cargo,Bulk Carrier
215678000,Cargo,Bulk Carrier
215713000,Cargo,Bulk Carrier
215714000,Cargo,Bulk Carrier
215776000,Cargo,Bulk Carrier
215790000,Cargo,Bulk Carrier
215843000,Cargo,Bulk Carrier
215847000,Cargo,Bulk Carrier
215850000,Cargo,Bulk Carrier
215868000,Cargo,Bulk Carrier
215874000,Cargo,Bulk Carrier
215881000,Cargo,Bulk Carrier
215952000,Cargo,Bulk Carrier
219359000,Cargo,Bulk Carrier
229012000,Cargo,Bulk Carrier
229026000,Cargo,Bulk Carrier
229027000,Cargo,Bulk Carrier
229032000,Cargo,Bulk Carrier
229087000,Cargo,Bulk Carrier
229125000,Cargo,Bulk Carrier
229131000,Cargo,Bulk Carrier
229141000,Cargo,Bulk Carrier
229161000,Cargo,Bulk Carrier
229164000,Cargo,Bulk Carrier
229199000,Cargo,Bulk Carrier
229214000,Cargo,Bulk Carrier
229236000,Cargo,Bulk Carrier
229265000,Cargo,Bulk Carrier
229266000,Cargo,Bulk Carrier
229269000,Cargo,Bulk Carrier
229283000,Cargo,Bulk Carrier
229286000,Cargo,Bulk Carrier
229308000,Cargo,Bulk Carrier
229347000,Cargo,Bulk Carrier
229364000,Cargo,Bulk Carrier
229376000,Cargo,Bulk Carrier
229381000,Cargo,Bulk Carrier
229387000,Cargo,Bulk Carrier
229410000,Cargo,Bulk Carrier
229411000,Cargo,Bulk Carrier
229421000,Cargo,Bulk Carrier
229478000,Cargo,Bulk Carrier
229532000,Cargo,Bulk Carrier
229565000,Cargo,Bulk Carrier
229603000,Cargo,Bulk Carrier
229609000,Cargo,Bulk Carrier
229623000,Cargo,Bulk Carrier
229647000,Cargo,Bulk Carrier
229675000,Cargo,Bulk Carrier
229697000,Cargo,Bulk Carrier
229718000,Cargo,Bulk Carrier
229725000,Cargo,Bulk Carrier
229732000,Cargo,Bulk Carrier
229760000,Cargo,Bulk Carrier
229787000,Cargo,Bulk Carrier
229789000,Cargo,Bulk Carrier
229859000,Cargo,Bulk Carrier
229902000,Cargo,Bulk Carrier
229910000,Cargo,Bulk Carrier
229911000,Cargo,Bulk Carrier
229954000,Cargo,Bulk Carrier
232003534,Cargo,Bulk Carrier
232006324,Cargo,Bulk Carrier
232008128,Cargo,Bulk Carrier
232012585,Cargo,Bulk Carrier
232014452,Cargo,Bulk Carrier
232017938,Cargo,Bulk Carrier
232018048,Cargo,Bulk Carrier
232023550,Cargo,Bulk Carrier
232024279,Cargo,Bulk Carrier
232025145,Cargo,Bulk Carrier
232027637,Cargo,Bulk Carrier
232031388,Cargo,Bulk Carrier
232752000,Cargo,Bulk Carrier
235074589,Cargo,Bulk Carrier
235102498,Cargo,Bulk Carrier
235103765,Cargo,Bulk Carrier
235103766,Cargo,Bulk Carrier
235113778,Cargo,Bulk Carrier
235114799,Cargo,Bulk Carrier
236707000,Cargo,Bulk Carrier
236709000,Cargo,Bulk Carrier
236710000,Cargo,Bulk Carrier
236723000,Cargo,Bulk Carrier
238016000,Cargo,Bulk Carrier
238266000,Cargo,Bulk Carrier
239838000,Cargo,Bulk Carrier
240111000,Cargo,Bulk Carrier
240203000,Cargo,Bulk Carrier
240446000,Cargo,Bulk Carrier
240569000,Cargo,Bulk Carrier
240585000,Cargo,Bulk Carrier
240608000,Cargo,Bulk Carrier
240796000,Cargo,Bulk Carrier
240858000,Cargo,Bulk Carrier
240927000,Cargo,Bulk Carrier
240963000,Cargo,Bulk Carrier
240979000,Cargo,Bulk Carrier
240988000,Cargo,Bulk Carrier
241013000,Cargo,Bulk Carrier
241031000,Cargo,Bulk Carrier
241044000,Cargo,Bulk Carrier
241054000,Cargo,Bulk Carrier
241058000,Cargo,Bulk Carrier
241073000,Cargo,Bulk Carrier
241075000,Cargo,Bulk Carrier
241116000,Cargo,Bulk Carrier
241118000,Cargo,Bulk Carrier
241123000,Cargo,Bulk Carrier
241142000,Cargo,Bulk Carrier
241143000,Cargo,Bulk Carrier
241160000,Cargo,Bulk Carrier
241166000,Cargo,Bulk Carrier
241195000,Cargo,Bulk Carrier
241196000,Cargo,Bulk Carrier
241198000,Cargo,Bulk Carrier
241222000,Cargo,Bulk Carrier
241229000,Cargo,Bulk Carrier
241259000,Cargo,Bulk Carrier
241267000,Cargo,Bulk Carrier
241274000,Cargo,Bulk Carrier
241283000,Cargo,Bulk Carrier
241299000,Cargo,Bulk Carrier
241373000,Cargo,Bulk Carrier
241375000,Cargo,Bulk Carrier
241376000,Cargo,Bulk Carrier
241421000,Cargo,Bulk Carrier
241427000,Cargo,Bulk Carrier
241432000,Cargo,Bulk Carrier
241508000,Cargo,Bulk Carrier
241581000,Cargo,Bulk Carrier
241602000,Cargo,Bulk Carrier
241652000,Cargo,Bulk Carrier
241709000,Cargo,Bulk Carrier
244830401,Cargo,Bulk Carrier
245854000,Cargo,Bulk Carrier
247276600,Cargo,Bulk Carrier
247291600,Cargo,Bulk Carrier
248038000,Cargo,Bulk Carrier
248048000,Cargo,Bulk Carrier
248056000,Cargo,Bulk Carrier
248087000,Cargo,Bulk Carrier
248110000,Cargo,Bulk Carrier
248135000,Cargo,Bulk Carrier
248153000,Cargo,Bulk Carrier
248162000,Cargo,Bulk Carrier
248173000,Cargo,Bulk Carrier
248188000,Cargo,Bulk Carrier
248220000,Cargo,Bulk Carrier
248285000,Cargo,Bulk Carrier
248296000,Cargo,Bulk Carrier
248300000,Cargo,Bulk Carrier
248306000,Cargo,Bulk Carrier
248326000,Cargo,Bulk Carrier
248390000,Cargo,Bulk Carrier
248442000,Cargo,Bulk Carrier
248457000,Cargo,Bulk Carrier
248462000,Cargo,Bulk Carrier
248472000,Cargo,Bulk Carrier
248489000,Cargo,Bulk Carrier
248493000,Cargo,Bulk Carrier
248505000,Cargo,Bulk Carrier
248506000,Cargo,Bulk Carrier
248510000,Cargo,Bulk Carrier
248515000,Cargo,Bulk Carrier
248550000,Cargo,Bulk Carrier
248630000,Cargo,Bulk Carrier
248665000,Cargo,Bulk Carrier
248668000,Cargo,Bulk Carrier
248695000,Cargo,Bulk Carrier
248698000,Cargo,Bulk Carrier
248724000,Cargo,Bulk Carrier
248741000,Cargo,Bulk Carrier
248828000,Cargo,Bulk Carrier
248904000,Cargo,Bulk Carrier
248938000,Cargo,Bulk Carrier
248943000,Cargo,Bulk Carrier
248945000,Cargo,Bulk Carrier
249008000,Cargo,Bulk Carrier
249025000,Cargo,Bulk Carrier
249120000,Cargo,Bulk Carrier
249134000,Cargo,Bulk Carrier
249194000,Cargo,Bulk Carrier
249217000,Cargo,Bulk Carrier
249366000,Cargo,Bulk Carrier
249386000,Cargo,Bulk Carrier
249397000,Cargo,Bulk Carrier
249469000,Cargo,Bulk Carrier
249562000,Cargo,Bulk Carrier
249563000,Cargo,Bulk Carrier
249637000,Cargo,Bulk Carrier
249740000,Cargo,Bulk Carrier
249742000,Cargo,Bulk Carrier
249784000,Cargo,Bulk Carrier
249807000,Cargo,Bulk Carrier
249845000,Cargo,Bulk Carrier
249860000,Cargo,Bulk Carrier
249875000,Cargo,Bulk Carrier
249895000,Cargo,Bulk Carrier
249944000,Cargo,Bulk Carrier
249946000,Cargo,Bulk Carrier
249975000,Cargo,Bulk Carrier
253068000,Cargo,Bulk Carrier
253246000,Cargo,Bulk Carrier
255727000,Cargo,Bulk Carrier
255805360,Cargo,Bulk Carrier
255805662,Cargo,Bulk Carrier
255805671,Cargo,Bulk Carrier
255805689,Cargo,Bulk Carrier
255805765,Cargo,Bulk Carrier
255805804,Cargo,Bulk Carrier
255805858,Cargo,Bulk Carrier
255805860,Cargo,Bulk Carrier
255805905,Cargo,Bulk Carrier
255805935,Cargo,Bulk Carrier
255806030,Cargo,Bulk Carrier
255806049,Cargo,Bulk Carrier
255806090,Cargo,Bulk Carrier
255806118,Cargo,Bulk Carrier
255806167,Cargo,Bulk Carrier
255806168,Cargo,Bulk Carrier
255806201,Cargo,Bulk Carrier
255806206,Cargo,Bulk Carrier
255806223,Cargo,Bulk Carrier
255806241,Cargo,Bulk Carrier
255806281,Cargo,Bulk Carrier
255806282,Cargo,Bulk Carrier
255806435,Cargo,Bulk Carrier
255806455,Cargo,Bulk Carrier
255806467,Cargo,Bulk Carrier
256099000,Cargo,Bulk Carrier
256106000,Cargo,Bulk Carrier
256112000,Cargo,Bulk Carrier
256155000,Cargo,Bulk Carrier
256238000,Cargo,Bulk Carrier
256313000,Cargo,Bulk Carrier
256334000,Cargo,Bulk Carrier
256347000,Cargo,Bulk Carrier
256350000,Cargo,Bulk Carrier
256362000,Cargo,Bulk Carrier
256416000,Cargo,Bulk Carrier
256427000,Cargo,Bulk Carrier
256505000,Cargo,Bulk Carrier
256562000,Cargo,Bulk Carrier
256624000,Cargo,Bulk Carrier
256638000,Cargo,Bulk Carrier
256662000,Cargo,Bulk Carrier
256672000,Cargo,Bulk Carrier
256675000,Cargo,Bulk Carrier
256678000,Cargo,Bulk Carrier
256682000,Cargo,Bulk Carrier
256738000,Cargo,Bulk Carrier
256739000,Cargo,Bulk Carrier
256785000,Cargo,Bulk Carrier
256818000,Cargo,Bulk Carrier
256821000,Cargo,Bulk Carrier
256848000,Cargo,Bulk Carrier
256944000,Cargo,Bulk Carrier
256998000,Cargo,Bulk Carrier
257087080,Cargo,Bulk Carrier
257323000,Cargo,Bulk Carrier
257325000,Cargo,Bulk Carrier
257394000,Cargo,Bulk Carrier
257407000,Cargo,Bulk Carrier
257593000,Cargo,Bulk Carrier
257596000,Cargo,Bulk Carrier
257818000,Cargo,Bulk Carrier
257891000,Cargo,Bulk Carrier
258003000,Cargo,Bulk Carrier
258097000,Cargo,Bulk Carrier
258288000,Cargo,Bulk Carrier
259093000,Cargo,Bulk Carrier
259303000,Cargo,Bulk Carrier
259741000,Cargo,Bulk Carrier
259794000,Cargo,Bulk Carrier
259932000,Cargo,Bulk Carrier
259933000,Cargo,Bulk Carrier
259951000,Cargo,Bulk Carrier
262006000,Cargo,Bulk Carrier
262007000,Cargo,Bulk Carrier
262008000,Cargo,Bulk Carrier
269047000,Cargo,Bulk Carrier
269144000,Cargo,Bulk Carrier
269806000,Cargo,Bulk Carrier
269837000,Cargo,Bulk Carrier
271000642,Cargo,Bulk Carrier
271000845,Cargo,Bulk Carrier
271000874,Cargo,Bulk Carrier
271000973,Cargo,Bulk Carrier
271001254,Cargo,Bulk Carrier
271002569,Cargo,Bulk Carrier
271002721,Cargo,Bulk Carrier
271040311,Cargo,Bulk Carrier
271040405,Cargo,Bulk Carrier
271042197,Cargo,Bulk Carrier
271042325,Cargo,Bulk Carrier
271042643,Cargo,Bulk Carrier
271043241,Cargo,Bulk Carrier
271043415,Cargo,Bulk Carrier
271044362,Cargo,Bulk Carrier
271044383,Cargo,Bulk Carrier
271044600,Cargo,Bulk Carrier
271044617,Cargo,Bulk Carrier
271045342,Cargo,Bulk Carrier
271045741,Cargo,Bulk Carrier
271046628,Cargo,Bulk Carrier
271048031,Cargo,Bulk Carrier
273217210,Cargo,Bulk Carrier
304090000,Cargo,Bulk Carrier
304091000,Cargo,Bulk Carrier
304489000,Cargo,Bulk Carrier
304604000,Cargo,Bulk Carrier
304798000,Cargo,Bulk Carrier
305610000,Cargo,Bulk Carrier
308789000,Cargo,Bulk Carrier
308876000,Cargo,Bulk Carrier
311000080,Cargo,Bulk Carrier
311000099,Cargo,Bulk Carrier
311000117,Cargo,Bulk Carrier
311000119,Cargo,Bulk Carrier
311000154,Cargo,Bulk Carrier
311000195,Cargo,Bulk Carrier
311000260,Cargo,Bulk Carrier
311000269,Cargo,Bulk Carrier
311000342,Cargo,Bulk Carrier
311000427,Cargo,Bulk Carrier
311000429,Cargo,Bulk Carrier
311000461,Cargo,Bulk Carrier
311000564,Cargo,Bulk Carrier
311000565,Cargo,Bulk Carrier
311000715,Cargo,Bulk Carrier
311000717,Cargo,Bulk Carrier
311000756,Cargo,Bulk Carrier
311000886,Cargo,Bulk Carrier
311000924,Cargo,Bulk Carrier
311000996,Cargo,Bulk Carrier
311001014,Cargo,Bulk Carrier
311001022,Cargo,Bulk Carrier
311001036,Cargo,Bulk Carrier
311001060,Cargo,Bulk Carrier
311005600,Cargo,Bulk Carrier
311005700,Cargo,Bulk Carrier
311005800,Cargo,Bulk Carrier
311013800,Cargo,Bulk Carrier
311013900,Cargo,Bulk Carrier
311016600,Cargo,Bulk Carrier
311017800,Cargo,Bulk Carrier
311017900,Cargo,Bulk Carrier
311018000,Cargo,Bulk Carrier
311018300,Cargo,Bulk Carrier
311024300,Cargo,Bulk Carrier
311025800,Cargo,Bulk Carrier
311028600,Cargo,Bulk Carrier
311029800,Cargo,Bulk Carrier
311034100,Cargo,Bulk Carrier
311035300,Cargo,Bulk Carrier
311035400,Cargo,Bulk Carrier
311035600,Cargo,Bulk Carrier
311036300,Cargo,Bulk Carrier
311037100,Cargo,Bulk Carrier
311037600,Cargo,Bulk Carrier
311040200,Cargo,Bulk Carrier
311040900,Cargo,Bulk Carrier
311041600,Cargo,Bulk Carrier
311042500,Cargo,Bulk Carrier
311042700,Cargo,Bulk Carrier
311051200,Cargo,Bulk Carrier
311052100,Cargo,Bulk Carrier
311052200,Cargo,Bulk Carrier
311053100,Cargo,Bulk Carrier
311053300,Cargo,Bulk Carrier
311053400,Cargo,Bulk Carrier
311053500,Cargo,Bulk Carrier
311053600,Cargo,Bulk Carrier
311055200,Cargo,Bulk Carrier
311055500,Cargo,Bulk Carrier
311055800,Cargo,Bulk Carrier
311058500,Cargo,Bulk Carrier
311061600,Cargo,Bulk Carrier
311062800,Cargo,Bulk Carrier
311063100,Cargo,Bulk Carrier
311064200,Cargo,Bulk Carrier
311073400,Cargo,Bulk Carrier
311358000,Cargo,Bulk Carrier
311379000,Cargo,Bulk Carrier
311407000,Cargo,Bulk Carrier
311773000,Cargo,Bulk Carrier
311828000,Cargo,Bulk Carrier
311829000,Cargo,Bulk Carrier
312026000,Cargo,Bulk Carrier
312043000,Cargo,Bulk Carrier
312086000,Cargo,Bulk Carrier
312099000,Cargo,Bulk Carrier
312107000,Cargo,Bulk Carrier
312119000,Cargo,Bulk Carrier
312124000,Cargo,Bulk Carrier
312269000,Cargo,Bulk Carrier
312304000,Cargo,Bulk Carrier
312414000,Cargo,Bulk Carrier
312417000,Cargo,Bulk Carrier
312487000,Cargo,Bulk Carrier
312495000,Cargo,Bulk Carrier
312546000,Cargo,Bulk Carrier
312548000,Cargo,Bulk Carrier
312601000,Cargo,Bulk Carrier
312620000,Cargo,Bulk Carrier
312629000,Cargo,Bulk Carrier
312685000,Cargo,Bulk Carrier
312700000,Cargo,Bulk Carrier
312711000,Cargo,Bulk Carrier
312715000,Cargo,Bulk Carrier
312845000,Cargo,Bulk Carrier
312908000,Cargo,Bulk Carrier
314032000,Cargo,Bulk Carrier
314147000,Cargo,Bulk Carrier
314312000,Cargo,Bulk Carrier
314427000,Cargo,Bulk Carrier
314428000,Cargo,Bulk Carrier
314429000,Cargo,Bulk Carrier
314468000,Cargo,Bulk Carrier
314480000,Cargo,Bulk Carrier
314482000,Cargo,Bulk Carrier
314501000,Cargo,Bulk Carrier
314504000,Cargo,Bulk Carrier
314517000,Cargo,Bulk Carrier
314519000,Cargo,Bulk Carrier
314523000,Cargo,Bulk Carrier
314524000,Cargo,Bulk Carrier
314525000,Cargo,Bulk Carrier
314527000,Cargo,Bulk Carrier
314530000,Cargo,Bulk Carrier
314531000,Cargo,Bulk Carrier
314533000,Cargo,Bulk Carrier
314537000,Cargo,Bulk Carrier
314540000,Cargo,Bulk Carrier
314542000,Cargo,Bulk Carrier
314570000,Cargo,Bulk Carrier
314577000,Cargo,Bulk Carrier
319029800,Cargo,Bulk Carrier
319054200,Cargo,Bulk Carrier
319057600,Cargo,Bulk Carrier
319076100,Cargo,Bulk Carrier
319093100,Cargo,Bulk Carrier
319114200,Cargo,Bulk Carrier
319122500,Cargo,Bulk Carrier
319130500,Cargo,Bulk Carrier
319135900,Cargo,Bulk Carrier
319137500,Cargo,Bulk Carrier
319144400,Cargo,Bulk Carrier
319145900,Cargo,Bulk Carrier
319153600,Cargo,Bulk Carrier
319155200,Cargo,Bulk Carrier
319157400,Cargo,Bulk Carrier
319192200,Cargo,Bulk Carrier
319366000,Cargo,Bulk Carrier
319756000,Cargo,Bulk Carrier
319875000,Cargo,Bulk Carrier
334030000,Cargo,Bulk Carrier
351012000,Cargo,Bulk Carrier
351019000,Cargo,Bulk Carrier
351080000,Cargo,Bulk Carrier
351170000,Cargo,Bulk Carrier
351177000,Cargo,Bulk Carrier
351184000,Cargo,Bulk Carrier
351190000,Cargo,Bulk Carrier
351199000,Cargo,Bulk Carrier
351201000,Cargo,Bulk Carrier
351217000,Cargo,Bulk Carrier
351335000,Cargo,Bulk Carrier
351398000,Cargo,Bulk Carrier
351421000,Cargo,Bulk Carrier
351495000,Cargo,Bulk Carrier
351546000,Cargo,Bulk Carrier
351653000,Cargo,Bulk Carrier
351654000,Cargo,Bulk Carrier
351724000,Cargo,Bulk Carrier
351729000,Cargo,Bulk Carrier
351752000,Cargo,Bulk Carrier
351801000,Cargo,Bulk Carrier
351820000,Cargo,Bulk Carrier
351936000,Cargo,Bulk Carrier
352012000,Cargo,Bulk Carrier
352027000,Cargo,Bulk Carrier
352067000,Cargo,Bulk Carrier
352084000,Cargo,Bulk Carrier
352093000,Cargo,Bulk Carrier
352102000,Cargo,Bulk Carrier
352143000,Cargo,Bulk Carrier
352158000,Cargo,Bulk Carrier
352170000,Cargo,Bulk Carrier
352211000,Cargo,Bulk Carrier
352244000,Cargo,Bulk Carrier
352328000,Cargo,Bulk Carrier
352383000,Cargo,Bulk Carrier
352426000,Cargo,Bulk Carrier
352497000,Cargo,Bulk Carrier
352528000,Cargo,Bulk Carrier
352582000,Cargo,Bulk Carrier
352593000,Cargo,Bulk Carrier
352608000,Cargo,Bulk Carrier
352630000,Cargo,Bulk Carrier
352635000,Cargo,Bulk Carrier
352652000,Cargo,Bulk Carrier
352843000,Cargo,Bulk Carrier
352864000,Cargo,Bulk Carrier
352886000,Cargo,Bulk Carrier
352888000,Cargo,Bulk Carrier
352978134,Cargo,Bulk Carrier
352978202,Cargo,Bulk Carrier
352979000,Cargo,Bulk Carrier
352985000,Cargo,Bulk Carrier
352986176,Cargo,Bulk Carrier
352986184,Cargo,Bulk Carrier
352986193,Cargo,Bulk Carrier
353038000,Cargo,Bulk Carrier
353047000,Cargo,Bulk Carrier
353071000,Cargo,Bulk Carrier
353184000,Cargo,Bulk Carrier
353205000,Cargo,Bulk Carrier
353233000,Cargo,Bulk Carrier
353245000,Cargo,Bulk Carrier
353381000,Cargo,Bulk Carrier
353478000,Cargo,Bulk Carrier
353528000,Cargo,Bulk Carrier
353539000,Cargo,Bulk Carrier
353577000,Cargo,Bulk Carrier
353578000,Cargo,Bulk Carrier
353693000,Cargo,Bulk Carrier
353702000,Cargo,Bulk Carrier
353718000,Cargo,Bulk Carrier
353837000,Cargo,Bulk Carrier
353863000,Cargo,Bulk Carrier
353933000,Cargo,Bulk Carrier
353941000,Cargo,Bulk Carrier
353978000,Cargo,Bulk Carrier
354013000,Cargo,Bulk Carrier
354029000,Cargo,Bulk Carrier
354124000,Cargo,Bulk Carrier
354127000,Cargo,Bulk Carrier
354214000,Cargo,Bulk Carrier
354250000,Cargo,Bulk Carrier
354265000,Cargo,Bulk Carrier
354267000,Cargo,Bulk Carrier
354322000,Cargo,Bulk Carrier
354368000,Cargo,Bulk Carrier
354391000,Cargo,Bulk Carrier
354405000,Cargo,Bulk Carrier
354408000,Cargo,Bulk Carrier
354418000,Cargo,Bulk Carrier
354428000,Cargo,Bulk Carrier
354430000,Cargo,Bulk Carrier
354432000,Cargo,Bulk Carrier
354447000,Cargo,Bulk Carrier
354459000,Cargo,Bulk Carrier
354544000,Cargo,Bulk Carrier
354574000,Cargo,Bulk Carrier
354589000,Cargo,Bulk Carrier
354604000,Cargo,Bulk Carrier
354643000,Cargo,Bulk Carrier
354644000,Cargo,Bulk Carrier
354668000,Cargo,Bulk Carrier
354669000,Cargo,Bulk Carrier
354701000,Cargo,Bulk Carrier
354774000,Cargo,Bulk Carrier
354827000,Cargo,Bulk Carrier
354857000,Cargo,Bulk Carrier
354858000,Cargo,Bulk Carrier
354868000,Cargo,Bulk Carrier
354872000,Cargo,Bulk Carrier
354879000,Cargo,Bulk Carrier
354881000,Cargo,Bulk Carrier
354931000,Cargo,Bulk Carrier
354971000,Cargo,Bulk Carrier
354973000,Cargo,Bulk Carrier
354974000,Cargo,Bulk Carrier
354998000,Cargo,Bulk Carrier
355036000,Cargo,Bulk Carrier
355077000,Cargo,Bulk Carrier
355109000,Cargo,Bulk Carrier
355135000,Cargo,Bulk Carrier
355267000,Cargo,Bulk Carrier
355290000,Cargo,Bulk Carrier
355386000,Cargo,Bulk Carrier
355401000,Cargo,Bulk Carrier
355420000,Cargo,Bulk Carrier
355471000,Cargo,Bulk Carrier
355489000,Cargo,Bulk Carrier
355540000,Cargo,Bulk Carrier
355550000,Cargo,Bulk Carrier
355646000,Cargo,Bulk Carrier
355665000,Cargo,Bulk Carrier
355671000,Cargo,Bulk Carrier
355677000,Cargo,Bulk Carrier
355696000,Cargo,Bulk Carrier
355706000,Cargo,Bulk Carrier
355748000,Cargo,Bulk Carrier
355774000,Cargo,Bulk Carrier
355814000,Cargo,Bulk Carrier
355853000,Cargo,Bulk Carrier
355860000,Cargo,Bulk Carrier
355922000,Cargo,Bulk Carrier
355953000,Cargo,Bulk Carrier
355959000,Cargo,Bulk Carrier
355969000,Cargo,Bulk Carrier
356066000,Cargo,Bulk Carrier
356067000,Cargo,Bulk Carrier
356088000,Cargo,Bulk Carrier
356124000,Cargo,Bulk Carrier
356136000,Cargo,Bulk Carrier
356187000,Cargo,Bulk Carrier
356227000,Cargo,Bulk Carrier
356276000,Cargo,Bulk Carrier
356329000,Cargo,Bulk Carrier
356337000,Cargo,Bulk Carrier
356370000,Cargo,Bulk Carrier
356389000,Cargo,Bulk Carrier
356411000,Cargo,Bulk Carrier
356413000,Cargo,Bulk Carrier
356467000,Cargo,Bulk Carrier
356479000,Cargo,Bulk Carrier
356515000,Cargo,Bulk Carrier
356555000,Cargo,Bulk Carrier
356556000,Cargo,Bulk Carrier
356612000,Cargo,Bulk Carrier
356643000,Cargo,Bulk Carrier
356727000,Cargo,Bulk Carrier
356750000,Cargo,Bulk Carrier
356752000,Cargo,Bulk Carrier
356760000,Cargo,Bulk Carrier
356791000,Cargo,Bulk Carrier
356811000,Cargo,Bulk Carrier
356820000,Cargo,Bulk Carrier
356832000,Cargo,Bulk Carrier
356836000,Cargo,Bulk Carrier
356837000,Cargo,Bulk Carrier
356861000,Cargo,Bulk Carrier
356879000,Cargo,Bulk Carrier
356912000,Cargo,Bulk Carrier
356972000,Cargo,Bulk Carrier
357002000,Cargo,Bulk Carrier
357072000,Cargo,Bulk Carrier
357075000,Cargo,Bulk Carrier
357094000,Cargo,Bulk Carrier
357250000,Cargo,Bulk Carrier
357260000,Cargo,Bulk Carrier
357284000,Cargo,Bulk Carrier
357289000,Cargo,Bulk Carrier
357313000,Cargo,Bulk Carrier
357314000,Cargo,Bulk Carrier
357320000,Cargo,Bulk Carrier
357340000,Cargo,Bulk Carrier
357395000,Cargo,Bulk Carrier
357400000,Cargo,Bulk Carrier
357446000,Cargo,Bulk Carrier
357454000,Cargo,Bulk Carrier
